Code,Gravity,Neighbour_structure,Multipole,Leaf_bucket,GPU,Published_performance,Why,Reference
GADGET-2,"TreePM (Barnes-Hut oct-tree short-range + PM long-range, FFT)",Same BH oct-tree used as a range-search tree for SPH neighbours,Monopole only (deliberate regression from GADGET-1 octopoles),Tree walked to individual particles; Peano-Hilbert ordered,No,CPU/MPI; no single-GPU rate published,"Oct-tree is shallower than a binary k-d tree (~0.3-0.65 N internal nodes vs ~N), bounded node aspect ratio keeps high-order multipoles small, and the same tree does double duty as the SPH range-search structure; monopoles give a memory-efficient build and cheap dynamic updates","Springel 2005, MNRAS 364,1105, doi:10.1111/j.1365-2966.2005.09655.x (arXiv:astro-ph/0505010)"
GADGET-4,One-sided TreePM OR manifestly momentum-conserving FMM,Oct-tree with Peano-Hilbert ordering; hierarchical particle groups,FMM with symmetric cell-cell expansions (momentum conserving by construction),Group-based traversal,No (MPI + shared-memory),No single-GPU rate published,"FMM restores exact momentum conservation that one-sided tree walks break, and gives better force accuracy per interaction at high dynamic range (zoom runs with extreme density contrast)","Springel et al. 2021, MNRAS 506,2871, doi:10.1093/mnras/stab1855 (arXiv:2010.03567)"
PKDGRAV3,"Fast Multipole Method, 4th-order moments stored, 5th-order local expansion; 5th-order Ewald for periodic images","Balanced binary k-d tree, hierarchically sorted particles",4th order (hexadecapole) stored; local expansion to 5th order,bucket b~16 particles; traversal group g=64 (=4b),Yes (interaction lists offloaded),"3.8 million particles/s/node at N=1e12 (Titan, 1 K20X GPU per node); cf. HACC 1.7 and 2HOT 1.2 on the same problem size; force errors ~1e-5 relative (single-precision interactions accumulated in double)",FMM errors are spatially less correlated than Barnes-Hut errors; 4th-order moments are >2x more efficient than quadrupoles once you need <0.1% RMS force error; large buckets/groups produce long interaction lists that saturate a GPU,"Potter, Stadel & Teyssier 2017, Comput. Astrophys. Cosmol. 4,2, doi:10.1186/s40668-017-0021-1 (arXiv:1609.08621)"
ChaNGa,"Barnes-Hut tree on space-filling-curve keys, Charm++ over-decomposition",Same tree; SPH neighbour search via tree range query,Hexadecapole (inherited PKDGRAV lineage),Configurable bucket; tree pieces sized for load balance,Yes (CUDA offload of interaction lists),Strong scaling to 512k cores of Blue Waters at 12-24e9 particles; clustered datasets to 128k cores,Charm++ message-driven execution hides communication latency and lets a highly clustered (high dynamic range) dataset be load-balanced by migrating tree pieces rather than by geometric bisection,"Menon et al. 2015, Comput. Astrophys. Cosmol. 2,1, doi:10.1186/s40668-015-0007-9 (arXiv:1409.1929)"
Bonsai,"Sparse Barnes-Hut oct-tree, entirely GPU-resident; Barnes (1994)-style group MAC",Morton-key sort + parallel-scan octree build (no CPU involvement),Monopole + quadrupole,Particle groups traversed together (shared interaction list),Yes - whole code,"2.8e6 particles/s at theta=0.75, N=1e6, one GTX480 (1.345 TF peak FP32); 2.1e6/s on Tesla C2050; ~1 GB device memory per 5e6 particles. Galaxy merger (240,002 bodies): max energy error 2.8e-4 at theta=0.75 vs 1.3e-4 at theta=0.50, costing 7102 s vs 12687 s. Later: 24.77 Pflops sustained, 242e9 particles, 18600 GPUs on Titan",Keeping tree build AND traverse on the GPU removes the PCIe round trip that dominated earlier GPU tree codes; parallel-scan/sort primitives make it portable to any device with those primitives (explicitly noted as OpenCL-portable),"Bedorf, Gaburov & Portegies Zwart 2012, J. Comput. Phys. 231,2825, doi:10.1016/j.jcp.2011.12.024 (arXiv:1106.1900); Bedorf et al. 2014, arXiv:1412.0659"
GIZMO,Inherits GADGET-3 TreePM oct-tree,Tree range search; meshless finite-volume/-mass partition of unity for hydro,Monopole (GADGET lineage),Tree walked to particles,No,No single-GPU rate published,"Reuses a proven gravity solver and changes the hydro discretisation; the neighbour structure has to support a smoothly varying kernel support radius, which a tree does naturally and a uniform grid does not","Hopkins 2015, MNRAS 450,53, doi:10.1093/mnras/stv195 (arXiv:1409.7395)"
AREPO,TreePM oct-tree (GADGET lineage),Moving Voronoi tessellation (Delaunay) for hydro; oct-tree for gravity and for mesh-construction searches,Monopole,Tree walked to particles,No,No single-GPU rate published,A Voronoi mesh is the natural adaptive neighbour structure when you want Galilean-invariant finite-volume hydro; the tessellation itself supplies neighbours with no capacity parameter at all,"Springel 2010, MNRAS 401,791, doi:10.1111/j.1365-2966.2009.15715.x (arXiv:0901.4107); Weinberger et al. 2020, arXiv:1909.04667"
SWIFT,"Fast Multipole Method (default order p=4, compile-time selectable up to p=5), optionally + PM for periodic volumes","Hierarchical cell grid, task-based; leaf cells hold many particles; pair tasks enumerated once per rebuild",p=4 default (56 numbers/cell at p=5),Large leaf cells (many particles) so multipole storage is amortised,No (task-based CPU; GPU work in progress),No single-GPU rate published,FMM lists all interactions explicitly so the whole step becomes a task graph with no decision-making during traversal; large leaves make P2P kernels vectorise; MAC follows Salmon & Warren (1994) error analysis rather than a bare opening angle,"Schaller et al. 2024, MNRAS 530,2378, doi:10.1093/mnras/stae922 (arXiv:2305.13380)"
Abacus,"Exact near/far split: direct 1/r^2 for the near field, discrete multipole convolution on a STATIC mesh for the far field",Static cell decomposition (cells sized so the near-field radius is a small integer number of cells),High-order multipoles on the static mesh,Cells; near-field radius typically 2 cells,Yes (near-field direct sums on GPU),70e6 particle updates/s/node on Summit (6x V100/node -> ~1.2e7/s/GPU by my division); median fractional force error 1e-5,"A static mesh makes the far-field operator a fixed convolution computed once, so the only per-step work is the near-field direct sum - which is exactly the operation GPUs are best at; the analytic near/far separation makes the force error controlled and homogeneous","Garrison et al. 2021, MNRAS 508,575, doi:10.1093/mnras/stab2482 (arXiv:2110.11392)"
GreeM,TreePM,Oct-tree + PM mesh; recursive multi-section domain decomposition,Monopole/quadrupole,Tree groups,No (CPU; later versions use accelerators),5e4 particles/s/CPU core at theta=0.5 on Cray XT4 when >1e6 particles/core; load-imbalance loss ~4% beyond 1e3 cores,"TreePM confines the tree to a short range so tree depth (and therefore the cost of extreme density contrast) is bounded, while the PM part carries the long-range force at fixed O(N + M^3 log M) cost","Ishiyama, Fukushige & Makino 2009, PASJ 61,1319 (arXiv:0910.0121)"
